/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_08/images/0000104.jpg 319,141,406,230,12 248,402,338,468,29 350,211,510,361,49 296,65,399,147,74 287,344,384,424,77 152,156,226,251,110 259,283,448,395,115 207,103,331,266,136 408,322,553,460,159 390,105,519,279,174 194,323,275,403,197 143,223,271,368,215
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_01/images/0000085.jpg 374,299,455,377,16 213,130,292,177,28 461,205,571,345,43 229,17,332,109,64 129,159,205,250,91 346,230,435,309,102 153,263,291,434,117 334,13,494,135,134 290,348,433,459,154 379,119,549,205,172 312,146,368,231,203 237,182,318,337,222
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_09/images/0000278.jpg 247,209,313,278,6 275,145,332,215,25 368,112,490,240,41 185,189,254,271,72 226,265,300,336,87 322,338,393,383,104 325,72,381,223,128 383,232,494,351,140 341,205,412,325,158 219,68,341,200,178 215,313,283,368,201 286,234,355,355,214
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_02/images/0000101.jpg 350,340,434,422,16 157,321,241,362,19 361,229,509,372,40 262,311,364,400,73 434,175,522,267,78 163,84,239,176,107 153,171,331,299,116 247,146,406,241,134 396,49,525,186,154 132,222,305,330,172 338,114,424,164,200 219,34,375,132,217
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_08/images/0000422.jpg 303,265,381,341,1 254,58,330,104,37 183,207,313,300,38 344,314,429,404,63 243,113,319,163,85 444,178,495,257,99 200,158,370,202,123 344,206,486,325,144 121,123,208,262,166 193,274,342,399,182 344,73,391,152,204 385,87,450,220,223
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_13/images/0000092.jpg 163,305,225,372,4 345,238,424,282,37 198,105,295,238,43 338,301,432,350,75 230,305,312,362,94 298,407,380,461,104 224,353,414,411,123 433,228,510,383,138 293,85,348,226,166 159,238,325,311,180 348,140,432,202,198 365,147,523,243,217
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_09/images/0000189.jpg 318,276,388,342,1 240,276,317,326,20 172,95,306,238,53 311,347,401,409,67 385,270,455,353,82 425,150,491,235,98 145,241,313,273,123 291,73,432,175,134 284,174,416,224,152 157,282,312,396,172 443,277,491,353,195 332,227,463,275,209
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_06/images/0000417.jpg 288,51,367,130,15 389,233,470,303,26 252,166,388,287,39 405,285,499,372,64 331,101,414,183,83 338,396,415,446,104 229,263,395,340,124 189,102,295,240,139 260,325,392,394,153 415,117,538,262,183 393,160,435,238,203 148,245,262,377,212
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_01/images/0000032.jpg 175,190,246,265,5 415,222,492,301,35 111,268,240,415,50 455,298,528,398,71 449,123,521,212,80 242,220,305,307,109 255,56,443,132,124 303,384,464,469,141 135,113,282,175,161 204,331,372,454,179 322,257,407,326,192 292,137,439,258,211
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_06/images/0000086.jpg 109,182,199,272,11 335,97,406,190,22 232,182,379,336,53 397,75,487,182,60 177,137,263,234,79 499,183,567,275,100 332,189,444,372,120 155,269,305,404,135 407,201,503,349,167 206,16,376,139,179 249,132,333,167,199 303,345,457,460,226
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_04/images/0000244.jpg 168,226,239,297,10 207,326,280,403,22 292,248,413,334,56 233,238,297,328,71 174,98,251,182,82 270,149,351,226,102 263,67,433,113,123 361,128,500,211,143 198,110,314,230,159 282,314,435,407,188 426,226,498,366,214 344,201,416,236,199
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_07/images/0000116.jpg 194,110,344,272,116 329,263,487,342,150 254,63,402,213,49 380,189,454,258,8 213,328,296,379,36 144,232,229,334,60 409,91,496,181,78 479,189,541,278,99 280,1,426,112,163 269,323,445,453,188 134,136,186,219,195 182,177,308,319,221
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_12/images/0000467.jpg 196,286,280,373,15 332,324,388,411,32 425,185,515,318,42 377,292,471,398,69 334,152,427,237,83 374,58,470,144,102 247,59,287,250,118 179,125,243,285,138 283,296,329,437,165 251,229,417,312,180 426,111,513,182,197 290,67,367,229,214
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_02/images/0000239.jpg 407,140,481,215,11 413,312,454,388,32 309,83,428,215,53 390,206,474,293,68 255,81,333,162,92 208,339,288,411,102 288,244,382,408,129 255,188,322,326,147 149,89,262,211,168 335,265,413,418,185 217,179,252,254,195 145,229,246,365,212
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_07/images/0000363.jpg 278,109,338,258,118 299,276,425,352,134 325,113,414,226,51 368,233,429,291,10 203,268,270,313,20 197,180,235,252,62 431,181,481,250,80 432,269,487,341,100 375,65,461,181,164 227,328,361,379,171 207,103,268,163,197 242,155,297,272,222
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_09/images/0000007.jpg 229,177,314,260,8 295,130,383,202,27 424,173,528,318,42 164,120,267,208,74 179,222,251,314,89 228,356,325,434,105 336,86,491,241,130 329,326,490,424,141 290,244,430,366,159 257,45,433,156,179 141,259,206,345,202 210,235,351,365,216
/home/daniele/data/datasets/yolo_compass/Compass2018_flowbel/scan_14/images/0000144.jpg 393,306,466,380,15 311,153,353,225,32 175,286,296,368,47 260,239,344,284,66 298,303,381,382,87 187,154,264,197,113 362,66,490,212,117 220,97,347,147,151 355,121,466,243,163 168,161,315,290,187 401,235,483,303,197 356,198,405,332,213
